,Entity,Year,Coal (TWh),Gas (TWh),Nuclear (TWh),Hydro (TWh),Solar (TWh),Oil (TWh),Wind (TWh),Bioenergy (TWh),Nuclear (TWh)
9960,World,1985,3748.3848,1426.3318,1488.9216,1979.2437,0.011747475,1110.7574,0.064220205,,
9961,World,1986,3839.0095,1432.6915,1594.7357,2006.073,0.015183838,1168.2734,0.13883132,,
9962,World,1987,4058.0767,1516.5096,1734.7332,2033.1924,0.01060303,1183.1753,0.19537677,,
9963,World,1988,4200.6743,1540.98,1891.2493,2098.3489,0.01019596,1256.5248,0.3315798,,
9964,World,1989,4376.982,1728.5537,1945.0106,2087.587,0.26222324,1350.2001,2.6497767,,
9965,World,1990,4460.2417,1788.729,2000.596,2158.619,0.38834995,1366.0226,3.6324706,,
9966,World,1991,4557.0664,1814.1472,2096.3098,2208.5417,0.5053229,1351.3785,4.086107,,
9967,World,1992,4649.81,1828.4287,2112.223,2208.314,0.4666791,1329.6443,4.732812,,
9968,World,1993,4727.7744,1862.4312,2184.9646,2341.3193,0.5566775,1268.4802,5.704169,,
9969,World,1994,4891.716,1923.7323,2225.9788,2355.9048,0.5969829,1303.7145,7.13173,,
9970,World,1995,5038.7197,2034.8729,2322.5298,2483.388,0.63888276,1261.7299,8.272123,,
9971,World,1996,5279.495,2100.1453,2406.615,2516.815,0.69922996,1247.3822,9.215601,,
9972,World,1997,5395.6333,2270.331,2390.0642,2561.356,0.7496558,1245.2191,12.028216,,
9973,World,1998,5511.2114,2407.8462,2431.1948,2580.9336,0.811852,1295.4772,15.92926,,
9974,World,1999,5630.671,2600.2073,2523.7056,2600.4685,0.9052879,1267.8557,21.226898,,
9975,World,2000,5808.81,2745.57,2540.46,2629.63,1.03,1323.96,31.14,154.44,43.65
9976,World,2001,5890.67,2914.78,2613.17,2563.66,1.37,1284.72,38.18,149.72,44.15
9977,World,2002,6144.3,3104.81,2654.78,2611.51,1.71,1271.49,52.22,162.96,45.83
9978,World,2003,6574.95,3255.5,2601.05,2611.9,2.1,1295.92,63.19,176.51,46.61
9979,World,2004,6797.3,3503.08,2719.41,2802.55,2.78,1263.28,85.46,192.54,48.26
9980,World,2005,7167.21,3680.54,2726.97,2911.71,3.94,1277.64,104.38,212.86,48.59
9981,World,2006,7566.97,3900.59,2761.59,3018.02,5.41,1175.8,133.17,226.7,50.76
9982,World,2007,8051.83,4219.27,2703.49,3062.72,7.28,1196.17,171.12,249.26,52.81
9983,World,2008,8074.84,4361.06,2694.72,3245.28,11.84,1171.0,220.81,266.33,56.59
9984,World,2009,7951.84,4382.27,2656.76,3241.2,19.81,1070.21,276.22,287.55,58.66
9985,World,2010,8459.14,4807.53,2725.91,3428.15,32.21,1077.88,345.93,328.22,59.71
9986,World,2011,8911.1,4866.06,2610.34,3488.0,63.61,1186.63,439.9,346.87,61.08
9987,World,2012,8961.01,5160.87,2432.22,3660.09,96.98,1238.37,529.19,377.56,62.83
9988,World,2013,9424.99,5057.63,2448.52,3790.72,131.95,1196.47,634.06,411.5,64.32
9989,World,2014,9601.04,5217.11,2498.73,3870.65,197.75,1143.5,706.02,446.31,69.53
9990,World,2015,9281.28,5542.13,2532.93,3881.76,255.87,1133.61,829.52,484.53,73.08
9991,World,2016,9325.3,5852.3,2571.05,4014.6,328.14,1085.64,960.2,490.06,75.87
9992,World,2017,9649.94,5978.13,2594.23,4053.88,445.16,994.62,1139.31,517.8,78.82
9993,World,2018,10028.19,6229.08,2658.7,4176.91,574.03,909.06,1268.0,547.05,81.71
9994,World,2019,9821.41,6405.51,2754.08,4228.71,704.4,854.82,1420.8,579.15,82.95
9995,World,2020,9437.11,6386.34,2648.37,4347.86,855.23,775.3,1591.37,615.21,86.12
9996,World,2021,10154.13,6546.18,2762.24,4287.9,1053.49,855.07,1856.65,669.27,86.33
9997,World,2022,10263.17,6606.91,2639.85,4321.15,1329.69,886.49,2106.93,684.83,87.91
9998,World,2023,10452.92,6684.39,2699.03,4234.3,1656.72,865.46,2312.13,691.07,88.92
9999,World,2024,10587.47,6795.95,2764.67,4418.96,2130.64,857.48,2497.25,712.16,88.76
10000,World,1965,,,25.539724,923.19806,0.0,,0.0,,
10001,World,1966,,,34.43329,983.81696,0.0,,0.0,,
10002,World,1967,,,41.006016,1005.7424,0.0,,0.0,,
10003,World,1968,,,52.113163,1059.2887,0.0,,0.0,,
10004,World,1969,,,61.783413,1121.7424,0.0,,0.0,,
10005,World,1970,,,78.87466,1174.6497,0.0,,0.0,,
10006,World,1971,,,109.70418,1227.2422,0.0,,0.0,,
10007,World,1972,,,152.17516,1284.629,0.0,,0.0,,
10008,World,1973,,,203.90158,1303.013,0.0,,0.0,,
10009,World,1974,,,266.6001,1431.2317,0.0,,0.0,,
10010,World,1975,,,369.8482,1448.8834,0.0,,0.0,,
10011,World,1976,,,432.67142,1443.1366,0.0,,0.0,,
10012,World,1977,,,538.5478,1491.6724,0.0,,0.0,,
10013,World,1978,,,625.7944,1614.3823,0.0,,0.003,,
10014,World,1979,,,650.8599,1695.1862,0.0,,0.006,,
10015,World,1980,,,711.9242,1731.6493,0.0,,0.0105,,
10016,World,1981,,,840.75073,1768.9036,0.0,,0.0105,,
10017,World,1982,,,912.17755,1800.9081,0.0,,0.0185,,
10018,World,1983,,,1033.8127,1877.7689,0.003,,0.03279495,,
10019,World,1984,,,1254.5685,1941.3734,0.006311111,,0.044755556,,
